Strategy,Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Total Trades
MA30-MA90,-1.97,,-3.33,44.44,9
RSI,0.0,,-0.0,,0
MACD,-2.9,,-3.71,34.18,79
MA50-MA200,-1.52,,-2.23,20.0,5
