Strategy,Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Total Trades
MA30-MA90,0.46,,-3.75,28.57,14
RSI,0.0,,-0.0,,0
MACD,-1.37,,-4.02,37.14,70
MA50-MA200,-1.39,,-2.18,25.0,4
